xmin,ymin,xmax,ymax
119.00934600830078,26.257888793945312,298.8430709838867,202.07286071777344
120.741943359375,26.234725952148438,298.8392028808594,201.4644317626953
206.47895050048828,214.66714477539062,413.01146697998047,420.0401306152344
205.88385009765625,214.18964385986328,413.08123779296875,419.3617477416992
206.29751586914062,214.49267578125,413.0403747558594,419.8560791015625
212.21963500976562,242.16472625732422,440.2382507324219,399.7533645629883
214.64910888671875,161.55931854248047,440.76544189453125,407.0895462036133
227.75686645507812,162.25567626953125,423.0544128417969,394.98992919921875
226.99203491210938,162.25375366210938,423.1208801269531,395.0767517089844
225.66363525390625,174.55520629882812,425.95623779296875,390.9455261230469
233.64517211914062,186.47113800048828,455.8006286621094,377.13231658935547
233.41131591796875,186.25894165039062,455.66827392578125,377.0331115722656
239.96856689453125,180.23320770263672,482.5633544921875,361.46082305908203
239.76785278320312,180.39117431640625,482.9471130371094,361.41156005859375
246.01019287109375,190.54315185546875,470.025146484375,359.35797119140625
252.09817504882812,233.2694320678711,479.5979309082031,353.07474517822266
252.90286254882812,229.23208618164062,479.7170104980469,353.7583923339844
254.64541625976562,244.6226806640625,494.7851867675781,347.1129150390625
251.0330810546875,253.2537841796875,498.17462158203125,345.1138916015625
251.239990234375,253.34197998046875,498.18829345703125,344.9534912109375
243.60809326171875,252.455078125,499.61920166015625,345.90325927734375
240.64321899414062,251.6624755859375,500.4978332519531,346.39599609375
248.62872314453125,249.350830078125,499.237060546875,349.32421875
248.57211303710938,249.32491302490234,499.2264099121094,349.30460357666016
245.99374389648438,239.60025024414062,497.5321960449219,348.2617492675781
244.49407958984375,236.83950805664062,495.317626953125,348.2110290527344
245.83946990966797,236.66336059570312,495.81324005126953,347.4199523925781
230.34115600585938,230.5911865234375,495.7184143066406,348.69183349609375
239.25820922851562,228.39630889892578,493.2276916503906,348.56383514404297
240.54476928710938,228.69365692138672,491.4435119628906,345.6076126098633
240.47978973388672,228.7078857421875,491.4337844848633,345.2509765625
239.59902954101562,228.11943817138672,491.8990173339844,344.8034133911133
237.67745971679688,227.28903198242188,492.7787170410156,344.5821228027344
237.2154541015625,226.9727783203125,492.63763427734375,344.9283447265625
233.7449951171875,221.58954620361328,493.1212158203125,344.56859588623047
233.60073852539062,221.94103240966797,493.1304016113281,344.87329864501953
233.3314208984375,208.6983642578125,493.3419189453125,345.27484130859375
232.57098388671875,198.4658203125,493.889404296875,345.83160400390625
231.8270263671875,198.947021484375,493.646240234375,346.2618408203125
231.352294921875,199.3140869140625,494.2442626953125,345.73876953125
228.96597290039062,198.95492553710938,496.0061950683594,346.9192810058594
228.95693969726562,198.89532470703125,496.1343078613281,346.74365234375
228.824951171875,199.71204376220703,496.5819091796875,345.9415817260742
227.64923095703125,198.45620727539062,497.79681396484375,344.4601745605469
228.074462890625,198.54869842529297,498.023681640625,344.4961624145508
227.35211181640625,198.22270965576172,497.65289306640625,344.59168243408203
230.28775024414062,198.1776123046875,496.6640319824219,343.06170654296875
229.87374877929688,197.64028930664062,496.3529968261719,343.2441711425781
230.30010986328125,197.4737548828125,496.57537841796875,343.064208984375
229.02899169921875,197.68124389648438,496.32916259765625,341.1455383300781
227.79852294921875,198.19854736328125,496.2342529296875,339.9725341796875
227.88436889648438,198.21764373779297,496.2114562988281,339.90259552001953
224.50332641601562,196.69378662109375,496.0115661621094,340.293701171875
224.17715454101562,195.02220916748047,496.2412414550781,340.8978958129883
224.5218505859375,194.87893676757812,496.23516845703125,340.6858825683594
223.21673583984375,195.56329345703125,496.198486328125,340.45404052734375
223.29632568359375,194.46185302734375,496.6588134765625,340.26226806640625
223.1754150390625,194.49484252929688,496.7139892578125,340.6040954589844
225.22903442382812,194.701171875,496.4898376464844,341.607421875
225.81979370117188,195.10848999023438,496.1007385253906,342.2522277832031
225.8291015625,195.08816528320312,495.90643310546875,342.2188415527344
227.25579833984375,196.24252319335938,496.369140625,342.1780090332031
227.786376953125,196.20885467529297,496.4417724609375,342.56970977783203
227.7257080078125,196.34268188476562,496.44146728515625,342.7255554199219
226.11346435546875,195.63442993164062,497.0150146484375,342.7887268066406
225.721923828125,195.14849853515625,497.1591796875,342.74688720703125
225.78671264648438,195.33350372314453,497.1686706542969,342.6069869995117
225.3768310546875,196.57965850830078,497.03570556640625,342.99303436279297
225.4354248046875,196.86279296875,496.99420166015625,342.8209228515625
225.48974609375,196.80093383789062,496.95343017578125,342.7670593261719
225.72119140625,196.57403564453125,497.1483154296875,343.28375244140625
225.21875,196.23546600341797,497.2169189453125,343.1165237426758
225.501708984375,196.380126953125,497.0692138671875,343.34814453125
225.1065673828125,196.21783447265625,497.5537109375,343.52496337890625
225.0943603515625,196.4051513671875,497.40301513671875,343.5242919921875
225.2906494140625,196.42724609375,497.37744140625,343.39599609375
224.09722900390625,195.72946166992188,497.65130615234375,343.6407165527344
223.47976684570312,195.199951171875,497.9737243652344,343.455078125
223.34573364257812,195.33258819580078,497.7648010253906,343.6071090698242
223.7244873046875,191.00875854492188,497.8380126953125,343.3175354003906
222.131591796875,186.4725341796875,498.22802734375,343.3580322265625
222.53860473632812,186.27627563476562,498.0582580566406,342.6764831542969
221.05035400390625,179.27142333984375,497.12738037109375,342.5457763671875
219.67205810546875,176.92385864257812,496.4053955078125,343.1790466308594
219.9490966796875,176.88070678710938,496.4132080078125,343.0965881347656
213.43463134765625,178.50457763671875,492.91986083984375,343.56573486328125
215.99386596679688,177.02627563476562,494.2491149902344,343.3102111816406
217.34207153320312,176.9022216796875,493.7582702636719,343.05316162109375
218.40121459960938,177.05364227294922,490.1213684082031,343.73084259033203
220.15093994140625,178.37704467773438,487.111083984375,343.7473449707031
220.371826171875,178.4283447265625,486.7940673828125,343.6640625
220.56564331054688,175.89865112304688,489.4695739746094,344.8546447753906
224.38717651367188,176.85470581054688,493.1965637207031,347.4538269042969
224.6334228515625,177.14401245117188,493.095947265625,347.6002502441406
225.70758056640625,181.04045867919922,501.46282958984375,347.17554473876953
225.25286865234375,185.86431884765625,504.40478515625,347.0732421875
225.26956176757812,185.758544921875,504.1629333496094,346.0426025390625
225.64932250976562,197.54303741455078,507.0352478027344,345.2964401245117
224.59066772460938,205.35818481445312,507.8585510253906,344.3885803222656
224.09027099609375,203.7799072265625,507.9527587890625,346.4034423828125
223.64007568359375,212.95034790039062,508.12457275390625,342.2066345214844
225.29034423828125,222.19165802001953,505.45050048828125,347.6218795776367
225.14022827148438,222.68297576904297,503.2658996582031,345.55310821533203
224.8856201171875,247.85169219970703,506.0465087890625,341.02672576904297
224.94219970703125,256.14202880859375,505.339599609375,341.775634765625
224.783203125,255.9784164428711,505.44183349609375,342.21353912353516
223.63153076171875,263.8358459472656,502.6444091796875,337.8835144042969
227.48101806640625,264.8951110839844,502.70147705078125,338.2218322753906
226.51528930664062,265.08795166015625,502.8515319824219,338.3267822265625
231.38311767578125,259.3038635253906,506.8465576171875,342.3597717285156
230.480224609375,258.0345458984375,508.048583984375,339.79742431640625
230.720703125,258.067626953125,508.087890625,340.09283447265625
231.00238037109375,256.17822265625,511.4166259765625,338.9913330078125
234.21348571777344,258.5071105957031,512.3282623291016,334.3521423339844
234.263671875,255.41622924804688,511.4168701171875,336.4546813964844
233.41033935546875,254.81805419921875,511.72210693359375,335.34356689453125
231.08883666992188,257.62841796875,510.0576477050781,333.938720703125
231.65032958984375,257.9587707519531,510.74029541015625,333.7004699707031
233.07485961914062,255.55908966064453,511.9980163574219,336.36400604248047
232.58544921875,255.7958984375,512.244384765625,337.22906494140625
232.64971923828125,255.6600341796875,511.97332763671875,337.23187255859375
230.86334228515625,257.6760559082031,512.1865844726562,341.4438781738281
230.94342041015625,258.0754699707031,512.2509155273438,340.2729187011719
230.9691162109375,257.9943542480469,512.1900024414062,340.1357727050781
227.60096740722656,258.1820373535156,512.9407806396484,340.4490661621094
226.39520263671875,258.2478332519531,513.73486328125,340.6518249511719
226.50604248046875,258.23004150390625,513.7838745117188,340.52154541015625
230.04270935058594,258.11328125,513.9843902587891,340.11138916015625
230.7379150390625,257.9956970214844,513.460205078125,340.4375915527344
230.73077392578125,257.9707336425781,513.2119750976562,340.8144836425781
230.9088134765625,257.54058837890625,513.2630615234375,340.99884033203125
231.05914306640625,257.3879699707031,513.8107299804688,339.8251647949219
231.5611572265625,257.3277587890625,513.5599975585938,339.52996826171875
231.20404052734375,257.85345458984375,514.1288452148438,340.575439453125
230.758544921875,258.0719909667969,514.607421875,340.3945007324219
230.7852783203125,258.21337890625,514.5297241210938,340.664306640625
230.56719970703125,258.57342529296875,514.8384399414062,340.50341796875
230.64964294433594,258.4058532714844,514.9813385009766,340.4535217285156
230.77667236328125,258.33160400390625,514.9136962890625,340.26275634765625
231.00303649902344,258.45574951171875,514.7185211181641,340.5301513671875
230.82579040527344,258.34466552734375,514.7227935791016,340.29351806640625
230.9500732421875,258.3536376953125,514.3802490234375,340.4898681640625
231.1690673828125,258.0000915527344,514.5458374023438,339.9725646972656
231.00270080566406,258.0962829589844,514.4632415771484,340.0409851074219
230.87266540527344,258.11358642578125,514.4179840087891,340.080810546875
230.85890197753906,258.2362060546875,514.4573822021484,340.1685791015625
230.4674072265625,258.3319091796875,514.50048828125,340.3897705078125
230.12896728515625,258.34423828125,514.54052734375,340.26055908203125
230.0382080078125,258.36322021484375,514.845458984375,340.412353515625
229.9493408203125,258.26806640625,514.7355346679688,340.09619140625
230.22064208984375,258.259765625,514.7582397460938,340.17547607421875
229.9176025390625,258.4502868652344,517.9601440429688,340.3403625488281
230.17291259765625,258.67803955078125,518.2552490234375,340.27972412109375
229.9521484375,258.5382080078125,518.34814453125,340.582763671875
229.62501525878906,258.536865234375,518.2708587646484,340.62432861328125
229.58070373535156,258.54644775390625,518.3987884521484,340.38031005859375
229.390380859375,258.4544982910156,518.2352294921875,340.6161193847656
